127.0.0.1 - - [30/Nov/2020:10:47:42 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/ HTTP/1.1" 200 12724
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/css/public.css HTTP/1.1" 200 7903
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/css/index.css HTTP/1.1" 200 5733
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/logo.png HTTP/1.1" 200 31885
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/ewm.png HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/grzx.png HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/gwc.png HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/smewm.png HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/nav1.jpg HTTP/1.1" 200 15602
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/nav2.jpg HTTP/1.1" 200 12633
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/nav3.jpg HTTP/1.1" 200 9959
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/nav7.jpg HTTP/1.1" 200 8241
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/nav6.jpg HTTP/1.1" 200 9036
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/banner2.jpg HTTP/1.1" 200 108527
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/i1.jpg HTTP/1.1" 200 19846
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/banner1.jpg HTTP/1.1" 200 101552
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/i2.jpg HTTP/1.1" 200 30643
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/i3.jpg HTTP/1.1" 200 15678
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/ih1.jpg HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/n1.jpg HTTP/1.1" 200 24153
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/n2.jpg HTTP/1.1" 200 10868
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/n3.jpg HTTP/1.1" 200 10427
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/n4.jpg HTTP/1.1" 200 10893
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/n6.jpg HTTP/1.1" 200 20007
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/n5.jpg HTTP/1.1" 200 11839
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/flo1.jpg HTTP/1.1" 200 12076
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/ih2.jpg HTTP/1.1" 200 5487
